Topic,Language1,Language2,TopicSimilarity
animals,da,hu,0.4333793297947376
animals,da,el,0.2473863128581598
animals,da,NB,0.8257111643775884
animals,fr,pl,0.38630837156391146
animals,fr,hu,0.3727119611937648
animals,fr,el,0.2354090318200574
animals,fr,NB,0.4031898034037263
animals,pl,hu,0.3857759790047419
animals,pl,el,0.23041402654802942
animals,pl,NB,0.3870705566452339
animals,hu,el,0.27324065121129854
animals,hu,NB,0.4443180827468615
animals,el,NB,0.2510518509883765
body,en,de,0.408375863522685
body,en,nl,0.3803942924431918
body,en,cs,0.2431423662748094
body,en,it,0.3789759726809814
body,en,es,0.35134443286901074
body,en,PT-PT,0.35685753141972637
body,en,ro,0.40278677583588407
body,en,da,0.35299806260437044
body,en,fr,0.4054038339694288
body,en,pl,0.1276118292754411
body,en,hu,0.21432790063699483
body,en,el,0.03587280126872522
body,en,NB,0.4151233966185342
body,de,nl,0.4777752138953206
body,de,cs,0.2168174263653285
body,de,it,0.2554131782374484
body,de,es,0.21280736880843243
body,de,PT-PT,0.21638210130346736
body,de,ro,0.24331042914278114
body,de,da,0.44107768699356387
body,de,fr,0.27021729088696167
body,de,pl,0.13523341005368206
body,de,hu,0.17306474812054218
body,de,el,0.01590571520826606
body,de,NB,0.45107767421724
body,nl,cs,0.1867958728388176
body,nl,it,0.23422084209041227
body,nl,es,0.21065192623816723
body,nl,PT-PT,0.2091345669067943
body,nl,ro,0.234013548845502
body,nl,da,0.4082978987210312
body,nl,fr,0.24025246692628788
body,nl,pl,0.11907301077893111
body,nl,hu,0.1400716083908072
body,nl,el,0.016745874218808177
body,nl,NB,0.41189272952245654
body,cs,it,0.2057822075664295
body,cs,es,0.19235627398911603
body,cs,PT-PT,0.19709101957553973
body,cs,ro,0.20038538323429778
body,cs,da,0.17175012546149698
body,cs,fr,0.16628444588875935
body,cs,pl,0.2780779069329184
body,cs,hu,0.17139231963753795
body,cs,el,0.0332259460072429
body,cs,NB,0.19562716850557077
body,it,es,0.5523665176913577
body,it,PT-PT,0.5717101775495572
body,it,ro,0.49353304788854374
