Topic,Language1,Language2,TopicSimilarity
animals,es,da,0.35354984729696665
animals,es,fr,0.4889203300051806
animals,es,pl,0.41429753088588883
animals,es,hu,0.4042874369727848
animals,es,el,0.3903128331961758
animals,es,NB,0.3760489713098106
animals,PT-PT,ro,0.4731883831310159
animals,PT-PT,da,0.325546521427015
animals,PT-PT,fr,0.4276826785338789
animals,PT-PT,pl,0.3637435314012729
animals,PT-PT,hu,0.34555951243139554
animals,PT-PT,el,0.3599847814419446
animals,PT-PT,NB,0.3656195887477869
animals,ro,da,0.37109564021385116
animals,ro,fr,0.5067559580521105
animals,ro,pl,0.44781047890253073
animals,ro,hu,0.42278540220818656
animals,ro,el,0.39359980954464263
animals,ro,NB,0.3945139896573079
animals,da,fr,0.3263055359967368
animals,da,pl,0.3449799639727472
animals,da,hu,0.38692045471858666
animals,da,el,0.3518857647295276
animals,da,NB,0.6287335141881167
animals,fr,pl,0.3711753644243501
animals,fr,hu,0.34108760028990787
animals,fr,el,0.35685131211200904
animals,fr,NB,0.3284711682221043
animals,pl,hu,0.410355579612159
animals,pl,el,0.3441441868294992
animals,pl,NB,0.3724118400062654
animals,hu,el,0.37711832859104394
animals,hu,NB,0.4273746590831834
animals,el,NB,0.36756676930964977
body,en,de,0.36514603058245865
body,en,nl,0.3572159200316905
body,en,cs,0.23335380035578518
body,en,it,0.32216393846719205
body,en,es,0.3019068805080885
body,en,PT-PT,0.31547084558229116
body,en,ro,0.3541446759796008
body,en,da,0.29803566635605233
body,en,fr,0.30967290508521117
body,en,pl,0.14777631391360996
body,en,hu,0.20433651115715354
body,en,el,0.25099342852053175
body,en,NB,0.36448242592518837
body,de,nl,0.4915408249897034
body,de,cs,0.24738778263845213
body,de,it,0.2775280805518797
body,de,es,0.2525896411124526
body,de,PT-PT,0.2504647916445861
body,de,ro,0.2735245746020343
body,de,da,0.39068049404024446
body,de,fr,0.2521135388635246
body,de,pl,0.16042874515495079
body,de,hu,0.20823122228110927
body,de,el,0.21805502256592618
